open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,bearish_fractal,bullish_fractal
2024-10-23 04:00:00,67082.1,67249.84,66999.99,67217.48,515.38779,2024-10-23 04:59:59.999,34598962.38305570,65328,286.67975000,19249765.03158070,0,False,False
2024-10-23 05:00:00,67217.48,67227.59,67042.44,67087.06,344.91746,2024-10-23 05:59:59.999,23151627.71247260,75447,121.62681000,8165197.27482620,0,False,False
2024-10-23 06:00:00,67087.06,67302.83,66904.18,66917.55,734.38739,2024-10-23 06:59:59.999,49287592.03190770,79014,363.58103000,24408766.35918910,0,True,False
2024-10-23 07:00:00,66917.55,67000.77,66800.0,66852.34,610.35202,2024-10-23 07:59:59.999,40833683.36521950,130989,283.71170000,18980619.64385670,0,False,False
2024-10-23 08:00:00,66852.33,67048.0,66415.62,66530.0,1433.79395,2024-10-23 08:59:59.999,95657736.92673060,180649,599.24502000,40013527.14361210,0,False,False
2024-10-23 09:00:00,66530.0,66602.35,66200.0,66516.0,1401.02255,2024-10-23 09:59:59.999,93054669.33967290,214371,708.65325000,47074934.77153280,0,False,True
2024-10-23 10:00:00,66515.99,66643.5,66397.37,66398.19,898.8687,2024-10-23 10:59:59.999,59797630.51723200,108861,279.39244000,18588797.93741900,0,False,False
2024-10-23 11:00:00,66398.18,66600.0,66276.04,66414.0,944.47823,2024-10-23 11:59:59.999,62757098.76014540,104457,387.03602000,25716990.20576030,0,False,False
2024-10-23 12:00:00,66414.0,66512.11,66105.0,66416.72,1715.78782,2024-10-23 12:59:59.999,113832526.95689930,185646,730.49539000,48474227.90615760,0,False,True
2024-10-23 13:00:00,66416.72,66910.15,66340.4,66800.0,1214.4722,2024-10-23 13:59:59.999,80909674.01305400,231298,661.82676000,44103535.71718980,0,True,False
2024-10-23 14:00:00,66799.99,66878.79,66433.0,66490.0,1221.12677,2024-10-23 14:59:59.999,81399412.22010750,239973,606.33319000,40429644.16357740,0,False,False
2024-10-23 15:00:00,66489.99,66492.0,65923.01,66223.44,2404.06932,2024-10-23 15:59:59.999,159055614.88769630,332222,1091.14028000,72200470.65356930,0,False,False
2024-10-23 16:00:00,66223.45,66288.0,65801.0,65878.02,1896.31971,2024-10-23 16:59:59.999,125142857.19478370,353502,911.56541000,60168986.63948720,0,False,False
2024-10-23 17:00:00,65878.02,65989.97,65637.0,65723.32,1676.39017,2024-10-23 17:59:59.999,110267325.25842300,249615,791.62274000,52071189.66599220,0,False,False
2024-10-23 18:00:00,65723.31,66070.26,65260.0,66057.79,2506.24902,2024-10-23 18:59:59.999,164363547.78061710,304226,1236.53048000,81132202.56552680,0,False,True
2024-10-23 19:00:00,66057.78,66573.58,65872.0,66472.0,1668.71629,2024-10-23 19:59:59.999,110558973.78253510,234796,879.79354000,58304451.03461950,0,False,False
2024-10-23 20:00:00,66472.0,66680.0,66338.99,66669.0,727.46539,2024-10-23 20:59:59.999,48379624.33160420,93720,371.13799000,24686168.50260020,0,False,False
2024-10-23 21:00:00,66668.99,66683.34,66362.15,66414.01,372.21879,2024-10-23 21:59:59.999,24751920.09566190,61603,136.33746000,9065179.51170310,0,False,False
2024-10-23 22:00:00,66414.0,66575.76,66351.58,66472.96,462.35838,2024-10-23 22:59:59.999,30735987.73502780,76978,173.61657000,11540626.53889710,0,False,False
2024-10-23 23:00:00,66472.95,66807.37,66460.0,66668.65,589.80894,2024-10-23 23:59:59.999,39323649.87431890,76869,332.29788000,22154046.60753440,0,False,False
